mineral,horizon,model,n,rmse,mae,smape,directional_accuracy,skill_rmse_vs_naive
Iron ore,3,sarima,22,4.59,3.77,7.72,0.73,0.25
Iron ore,3,lightgbm,22,5.69,4.98,10.34,0.55,0.07
Iron ore,3,random_forest,22,5.88,5.16,10.74,0.59,0.04
Iron ore,3,naive,22,6.15,5.21,10.67,0.0,0.0
Iron ore,3,catboost,22,6.56,5.75,12.06,0.55,-0.07
Iron ore,3,arima,22,7.08,6.17,13.0,0.5,-0.15
Iron ore,3,historical_mean,22,8.74,7.92,17.1,0.41,-0.42
Iron ore,3,sarimax,0,,,,,
Iron ore,3,xgboost,0,,,,,
