mineral,horizon,model,n,rmse,mae,smape,directional_accuracy,skill_rmse_vs_naive
Copper,12,sarima,21,48.16,38.14,15.31,0.71,0.3
Copper,12,random_forest,21,49.01,38.5,15.44,0.76,0.29
Copper,12,lightgbm,21,52.57,42.51,16.88,0.71,0.24
Copper,12,arima,21,53.82,45.52,17.97,0.67,0.22
Copper,12,catboost,21,56.51,48.3,18.91,0.71,0.18
Copper,12,naive,21,69.02,54.9,21.78,0.0,0.0
Copper,12,historical_mean,21,70.45,60.83,23.07,0.62,-0.02
Copper,12,sarimax,0,,,,,
Copper,12,xgboost,0,,,,,
