mineral,horizon,model,n,rmse,mae,smape,directional_accuracy,skill_rmse_vs_naive
Copper,3,random_forest,22,46.57,35.82,14.38,0.73,0.41
Copper,3,sarima,22,53.54,43.54,17.14,0.68,0.32
Copper,3,catboost,22,56.47,48.19,18.8,0.68,0.28
Copper,3,arima,22,59.56,50.78,19.65,0.68,0.24
Copper,3,lightgbm,22,59.95,50.22,19.46,0.68,0.24
Copper,3,historical_mean,22,67.96,57.71,21.92,0.64,0.14
Copper,3,naive,22,78.84,55.59,22.21,0.0,0.0
Copper,3,sarimax,0,,,,,
Copper,3,xgboost,0,,,,,
