mineral,horizon,model,n,rmse,mae,smape,directional_accuracy,skill_rmse_vs_naive
Gold,6,naive,22,16.18,12.65,3.31,0.0,0.0
Gold,6,sarima,22,40.66,36.84,9.27,0.36,-1.51
Gold,6,catboost,22,60.46,59.72,14.66,0.36,-2.74
Gold,6,arima,22,60.81,60.18,14.77,0.36,-2.76
Gold,6,random_forest,22,61.21,60.58,14.86,0.36,-2.78
Gold,6,lightgbm,22,61.69,60.59,14.85,0.36,-2.81
Gold,6,historical_mean,22,145.33,145.06,32.22,0.36,-7.98
Gold,6,sarimax,0,,,,,
Gold,6,xgboost,0,,,,,
