mineral,horizon,model,n,rmse,mae,smape,directional_accuracy,skill_rmse_vs_naive
Coal,6,lightgbm,22,3.88,2.77,3.26,0.82,0.33
Coal,6,catboost,22,4.08,2.98,3.5,0.86,0.3
Coal,6,arima,22,4.13,3.21,3.77,0.82,0.29
Coal,6,random_forest,22,4.63,3.44,4.02,0.68,0.2
Coal,6,naive,22,5.8,4.67,5.52,0.0,0.0
Coal,6,sarima,22,7.04,5.63,6.43,0.55,-0.21
Coal,6,historical_mean,22,9.53,8.9,10.8,0.55,-0.64
Coal,6,sarimax,0,,,,,
Coal,6,xgboost,0,,,,,
