mineral,horizon,model,n,rmse,mae,smape,directional_accuracy,skill_rmse_vs_naive
Coal,12,catboost,21,3.83,3.01,3.53,0.81,0.17
Coal,12,random_forest,21,4.13,3.21,3.78,0.76,0.11
Coal,12,arima,21,4.21,3.43,4.04,0.76,0.09
Coal,12,lightgbm,21,4.21,3.24,3.81,0.76,0.09
Coal,12,naive,21,4.64,3.93,4.62,0.0,0.0
Coal,12,sarima,21,6.12,4.45,5.15,0.48,-0.32
Coal,12,historical_mean,21,9.82,9.16,11.15,0.67,-1.12
Coal,12,sarimax,0,,,,,
Coal,12,xgboost,0,,,,,
